M,alpha,refs,SS,mean,std,result,PHS
3,1,91,0.066954,0.221155026,0.014479849,SS better,0.221155 ± 0.014480
3,1,136,0.053563,0.178468325,0.011835281,SS better,0.178468 ± 0.011835
3,1,231,0.040172,0.112180435,0.008819148,SS better,0.112180 ± 0.008819
3,1,351,0.032138,0.102690974,0.007458702,SS better,0.102691 ± 0.007459
3,1,496,0.026782,0.077787929,0.011052193,SS better,0.077788 ± 0.011052
3,10,91,0.415679,0.312499311,0.039652589,PHS better,0.312499 ± 0.039653
3,10,136,0.412334,0.246694955,0.039555812,PHS better,0.246695 ± 0.039556
3,10,231,0.412334,0.155673997,0.007267771,PHS better,0.155674 ± 0.007268
3,10,351,0.411737,0.128922518,0.006063075,PHS better,0.128923 ± 0.006063
3,10,496,0.410907,0.104310994,0.005847543,PHS better,0.104311 ± 0.005848
3,20,91,0.431627,0.257849793,0.012148706,PHS better,0.257850 ± 0.012149
3,20,136,0.426543,0.188775727,0.011209984,PHS better,0.188776 ± 0.011210
3,20,231,0.426543,0.156147155,0.007106793,PHS better,0.156147 ± 0.007107
3,20,351,0.426455,0.125227691,0.007083542,PHS better,0.125228 ± 0.007084
3,20,496,0.425206,0.102622729,0.00583352,PHS better,0.102623 ± 0.005834
3,30,91,0.434818,0.253494507,0.013695445,PHS better,0.253495 ± 0.013695
3,30,136,0.430014,0.185364678,0.011081976,PHS better,0.185365 ± 0.011082
3,30,231,0.430014,0.151765065,0.008659215,PHS better,0.151765 ± 0.008659
3,30,351,0.430014,0.122454412,0.007898854,PHS better,0.122454 ± 0.007899
3,30,496,0.429915,0.098714305,0.004101022,PHS better,0.098714 ± 0.004101
