M,alpha,refs,SS,mean,std,result,PHS
3,1,91,0.408248,0.22226424,0.017768592,PHS better,0.222264 ± 0.017769
3,1,136,0.410961,0.169651022,0.02065646,PHS better,0.169651 ± 0.020656
3,1,231,0.408248,0.114410834,0.009295017,PHS better,0.114411 ± 0.009295
3,1,351,0.409227,0.105605442,0.009264428,PHS better,0.105605 ± 0.009264
3,1,496,0.408248,0.081788327,0.011127579,PHS better,0.081788 ± 0.011128
3,10,91,0.706831,0.310595072,0.04111279,PHS better,0.310595 ± 0.041113
3,10,136,0.708346,0.229061316,0.039852737,PHS better,0.229061 ± 0.039853
3,10,231,0.706831,0.15784216,0.010091307,PHS better,0.157842 ± 0.010091
3,10,351,0.707377,0.128120234,0.004997278,PHS better,0.128120 ± 0.004997
3,10,496,0.706831,0.103784163,0.006993314,PHS better,0.103784 ± 0.006993
3,20,91,0.707107,0.258074172,0.012936528,PHS better,0.258074 ± 0.012937
3,20,136,0.708676,0.191202424,0.010034804,PHS better,0.191202 ± 0.010035
3,20,231,0.707107,0.15611144,0.00746981,PHS better,0.156111 ± 0.007470
3,20,351,0.707672,0.125251439,0.00748764,PHS better,0.125251 ± 0.007488
3,20,496,0.707107,0.100845027,0.006286782,PHS better,0.100845 ± 0.006287
3,30,91,0.707107,0.257476972,0.012042858,PHS better,0.257477 ± 0.012043
3,30,136,0.708676,0.188572193,0.011120166,PHS better,0.188572 ± 0.011120
3,30,231,0.707107,0.153538224,0.008044776,PHS better,0.153538 ± 0.008045
3,30,351,0.707672,0.122231607,0.006877715,PHS better,0.122232 ± 0.006878
3,30,496,0.707107,0.100537504,0.006343338,PHS better,0.100538 ± 0.006343
