M,alpha,refs,SS,mean,std,result,PHS
3,1,91,0.040791,0.064358866,0.001784331,SS better,0.064359 ± 0.001784
3,1,136,0.032633,0.050009035,0.000925691,SS better,0.050009 ± 0.000926
3,1,231,0.024475,0.037728355,0.0005146,SS better,0.037728 ± 0.000515
3,1,351,0.01958,0.029751561,0.000359749,SS better,0.029752 ± 0.000360
3,1,496,0.016316,0.024976657,0.000224599,SS better,0.024977 ± 0.000225
3,10,91,0.110491,0.096865389,0.004918595,PHS better,0.096865 ± 0.004919
3,10,136,0.103488,0.072045022,0.002831621,PHS better,0.072045 ± 0.002832
3,10,231,0.096819,0.05227974,0.000900209,PHS better,0.052280 ± 0.000900
3,10,351,0.092139,0.041982553,0.000704058,PHS better,0.041983 ± 0.000704
3,10,496,0.090984,0.033833799,0.000547527,PHS better,0.033834 ± 0.000548
3,20,91,0.112168,0.088311404,0.002273879,PHS better,0.088311 ± 0.002274
3,20,136,0.105101,0.067549166,0.001129144,PHS better,0.067549 ± 0.001129
3,20,231,0.098228,0.051390001,0.000928765,PHS better,0.051390 ± 0.000929
3,20,351,0.093531,0.041057153,0.000624697,PHS better,0.041057 ± 0.000625
3,20,496,0.092666,0.033553394,0.000457242,PHS better,0.033553 ± 0.000457
3,30,91,0.112494,0.085899482,0.002297249,PHS better,0.085899 ± 0.002297
3,30,136,0.105417,0.066020503,0.001021925,PHS better,0.066021 ± 0.001022
3,30,231,0.09848,0.050229599,0.000606231,PHS better,0.050230 ± 0.000606
3,30,351,0.093792,0.040277292,0.000459048,PHS better,0.040277 ± 0.000459
3,30,496,0.092918,0.03296892,0.000297307,PHS better,0.032969 ± 0.000297
