M,alpha,refs,SS,mean,std,result,PHS
3,1,91,0.079064,0.063344319,0.001913437,PHS better,0.063344 ± 0.001913
3,1,136,0.073011,0.049962832,0.001090705,PHS better,0.049963 ± 0.001091
3,1,231,0.067095,0.037485188,0.00040459,PHS better,0.037485 ± 0.000405
3,1,351,0.064025,0.029837507,0.000280351,PHS better,0.029838 ± 0.000280
3,1,496,0.061,0.025000734,0.000216208,PHS better,0.025001 ± 0.000216
3,10,91,0.262508,0.097036872,0.005050861,PHS better,0.097037 ± 0.005051
3,10,136,0.259059,0.07126777,0.002708451,PHS better,0.071268 ± 0.002708
3,10,231,0.25577,0.052166037,0.000972683,PHS better,0.052166 ± 0.000973
3,10,351,0.254732,0.041903414,0.000797669,PHS better,0.041903 ± 0.000798
3,10,496,0.253474,0.033823443,0.000436481,PHS better,0.033823 ± 0.000436
3,20,91,0.265655,0.088737884,0.002358129,PHS better,0.088738 ± 0.002358
3,20,136,0.262234,0.067415783,0.001151396,PHS better,0.067416 ± 0.001151
3,20,231,0.258751,0.051071775,0.000833443,PHS better,0.051072 ± 0.000833
3,20,351,0.257579,0.040924623,0.000685443,PHS better,0.040925 ± 0.000685
3,20,496,0.256756,0.033381817,0.00037511,PHS better,0.033382 ± 0.000375
3,30,91,0.266156,0.086940567,0.002295403,PHS better,0.086941 ± 0.002295
3,30,136,0.262715,0.06626813,0.000961153,PHS better,0.066268 ± 0.000961
3,30,231,0.259142,0.050386299,0.000660044,PHS better,0.050386 ± 0.000660
3,30,351,0.258045,0.040442031,0.000586548,PHS better,0.040442 ± 0.000587
3,30,496,0.257158,0.033091442,0.00030291,PHS better,0.033091 ± 0.000303
